------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:40:57 (uptime: 0d, 00h 00m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.mgr.flows_notimeout                      | Total                     | 16564
flow.mgr.flows_timeout                        | Total                     | 14503
flow.mgr.flows_evicted                        | Total                     | 14503
flow.mgr.flows_evicted_needs_work             | Total                     | 3009
tcp.memuse                                    | Total                     | 4849904
tcp.reassembly_memuse                         | Total                     | 13089340
http.memuse                                   | Total                     | 3228420
ftp.memuse                                    | Total                     | 197
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 9313984
------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:41:13 (uptime: 0d, 00h 00m 41s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 4198145
decoder.bytes                                 | Total                     | 4741132043
decoder.ipv4                                  | Total                     | 4178943
decoder.ipv6                                  | Total                     | 7450
decoder.ethernet                              | Total                     | 4198145
decoder.tcp                                   | Total                     | 3996814
decoder.udp                                   | Total                     | 188633
decoder.icmpv4                                | Total                     | 118
decoder.icmpv6                                | Total                     | 695
decoder.avg_pkt_size                          | Total                     | 1129
decoder.max_pkt_size                          | Total                     | 23414
flow.tcp                                      | Total                     | 32916
flow.udp                                      | Total                     | 60449
flow.icmpv6                                   | Total                     | 25
flow.tcp_reuse                                | Total                     | 5
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 689
defrag.ipv4.fragments                         | Total                     | 108
defrag.ipv4.reassembled                       | Total                     | 52
decoder.event.ipv4.opt_pad_required           | Total                     | 25
decoder.event.ipv6.zero_len_padn              | Total                     | 401
decoder.event.ipv4.frag_overlap               | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 20942
flow.wrk.flows_evicted_pkt_inject             | Total                     | 32047
flow.wrk.flows_evicted                        | Total                     | 4390
flow.wrk.flows_injected                       | Total                     | 20436
tcp.sessions                                  | Total                     | 32757
tcp.invalid_checksum                          | Total                     | 944610
tcp.syn                                       | Total                     | 34663
tcp.synack                                    | Total                     | 34374
tcp.rst                                       | Total                     | 12021
tcp.stream_depth_reached                      | Total                     | 55
tcp.reassembly_gap                            | Total                     | 21170
tcp.overlap                                   | Total                     | 13240
detect.alert                                  | Total                     | 655
detect.alerts_suppressed                      | Total                     | 1660
app_layer.flow.http                           | Total                     | 6286
app_layer.tx.http                             | Total                     | 25456
app_layer.flow.ftp                            | Total                     | 133
app_layer.tx.ftp                              | Total                     | 1104
app_layer.flow.tls                            | Total                     | 17155
app_layer.flow.ssh                            | Total                     | 309
app_layer.flow.smb                            | Total                     | 123
app_layer.tx.smb                              | Total                     | 1166
app_layer.flow.dcerpc_tcp                     | Total                     | 53
app_layer.tx.dcerpc_tcp                       | Total                     | 149
app_layer.flow.ntp                            | Total                     | 246
app_layer.tx.ntp                              | Total                     | 5334
app_layer.flow.ftp-data                       | Total                     | 77
app_layer.flow.krb5_tcp                       | Total                     | 42
app_layer.tx.krb5_tcp                         | Total                     | 46
app_layer.flow.failed_tcp                     | Total                     | 202
app_layer.flow.dns_udp                        | Total                     | 58835
app_layer.tx.dns_udp                          | Total                     | 230652
app_layer.flow.krb5_udp                       | Total                     | 177
app_layer.tx.krb5_udp                         | Total                     | 354
app_layer.flow.failed_udp                     | Total                     | 1191
flow.mgr.full_hash_pass                       | Total                     | 41
flow.spare                                    | Total                     | 10477
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 166096
flow.mgr.flows_notimeout                      | Total                     | 81270
flow.mgr.flows_timeout                        | Total                     | 84826
flow.mgr.flows_evicted                        | Total                     | 84826
flow.mgr.flows_evicted_needs_work             | Total                     | 20436
tcp.memuse                                    | Total                     | 4849704
